minutes,reply
0.2,n
0.2,n
0.2,n
0.2,n
0.2,n
0.2,n
0.2,n
0.2,n
0.2,n
0.3,n
0.3,n
0.3,n
0.3,n
0.3,n
0.3,n
0.3,n
0.3,n
0.3,n
0.4,n
0.4,n
0.4,n
0.4,n
0.4,n
0.4,n
0.4,n
0.4,n
0.4,n
0.5,n
0.5,y
0.5,n
0.5,n
0.5,n
0.5,n
0.5,n
0.5,y
0.5,n
0.6,n
0.6,n
0.6,n
0.6,n
0.6,n
0.6,n
0.6,n
0.6,n
0.6,n
0.7,n
0.7,n
0.7,n
0.7,n
0.7,y
0.7,n
0.7,n
0.7,n
0.7,n
0.8,n
0.8,n
0.8,y
0.8,n
0.8,n
0.8,n
0.8,n
0.8,n
0.8,y
0.9,n
0.9,n
0.9,n
0.9,n
0.9,n
0.9,n
0.9,n
0.9,n
0.9,n
1,n
1,n
1,n
1,n
1,n
1,n
1,n
1,n
1,n
1.1,n
1.1,n
1.1,n
1.1,n
1.1,n
1.1,n
1.1,n
1.1,n
1.1,n
1.2,n
1.2,n
1.2,n
1.2,n
1.2,n
1.2,n
1.2,n
1.2,n
1.2,n
1.3,n
1.3,n
1.3,n
1.3,n
1.3,y
1.3,n
1.3,n
1.3,n
1.3,n
1.4,n
1.4,n
1.4,n
1.4,n
1.4,n
1.4,n
1.4,n
1.4,n
1.4,n
1.5,n
1.5,n
1.5,n
1.5,n
1.5,n
1.5,n
1.5,n
1.5,n
1.5,n
1.6,n
1.6,n
1.6,n
1.6,n
1.6,n
1.6,n
1.6,n
1.6,n
1.6,n
1.7,n
1.7,n
1.7,n
1.7,n
1.7,n
1.7,n
1.7,n
1.7,n
1.7,n
1.8,n
1.8,n
1.8,n
1.8,n
1.8,n
1.8,n
1.8,n
1.8,n
1.8,y
1.9,n
1.9,n
1.9,n
1.9,n
1.9,n
1.9,n
1.9,n
1.9,n
1.9,n
2,n
2,n
2,n
2,n
2,n
2,n
2,n
2,n
2,n
2.1,n
2.1,n
2.1,n
2.1,n
2.1,n
2.1,n
2.1,n
2.1,n
2.1,n
2.2,n
2.2,y
2.2,y
2.2,n
2.2,y
2.2,n
2.2,n
2.2,y
2.2,n
2.3,n
2.3,n
2.3,n
2.3,n
2.3,n
2.3,n
2.3,n
2.3,n
2.3,n
2.4,n
2.4,n
2.4,n
2.4,n
2.4,n
2.4,n
2.4,n
2.4,n
2.4,n
2.5,n
2.5,n
2.5,n
2.5,n
2.5,n
2.5,y
2.5,n
2.5,n
2.5,n
2.6,n
2.6,n
2.6,n
2.6,n
2.6,n
2.6,n
2.6,n
2.6,n
2.6,n
2.7,n
2.7,n
2.7,n
2.7,n
2.7,n
2.7,n
2.7,n
2.7,n
2.7,n
2.8,n
2.8,n
2.8,n
2.8,n
2.8,n
2.8,n
2.8,n
2.8,n
2.8,n
2.9,n
2.9,n
2.9,n
2.9,n
2.9,n
2.9,n
2.9,n
2.9,n
2.9,n
3,y
3,y
3,y
3,y
3,y
3,y
3,y
3,y
3,y
3.1,y
3.1,y
3.1,y
3.1,y
3.1,y
3.1,y
3.1,y
3.1,y
3.1,y
3.2,y
3.2,y
3.2,y
3.2,y
3.2,y
3.2,y
3.2,y
3.2,y
3.2,y
3.3,y
3.3,y
3.3,y
3.3,y
3.3,y
3.3,y
3.3,y
3.3,y
3.3,y
3.4,y
3.4,y
3.4,y
3.4,y
3.4,y
3.4,y
3.4,y
3.4,y
3.4,y
3.5,y
3.5,y
3.5,y
3.5,y
3.5,y
3.5,y
3.5,y
3.5,y
3.5,y
3.6,y
3.6,y
3.6,y
3.6,y
3.6,y
3.6,y
3.6,y
3.6,y
3.6,y
3.7,y
3.7,y
3.7,y
3.7,y
3.7,y
3.7,y
3.7,y
3.7,y
3.7,y
3.8,y
3.8,y
3.8,y
3.8,y
3.8,y
3.8,y
3.8,y
3.8,y
3.8,y
3.9,y
3.9,n
3.9,y
3.9,y
3.9,n
3.9,y
3.9,y
3.9,n
3.9,y
4,y
4,y
4,y
4,y
4,y
4,y
4,y
4,y
4,y
4.1,n
4.1,y
4.1,y
4.1,n
4.1,y
4.1,y
4.1,y
4.1,y
4.1,y
4.2,y
4.2,y
4.2,n
4.2,y
4.2,y
4.2,y
4.2,y
4.2,y
4.2,n
4.3,y
4.3,y
4.3,y
4.3,y
4.3,y
4.3,y
4.3,y
4.3,y
4.3,y
4.4,y
4.4,y
4.4,y
4.4,y
4.4,y
4.4,y
4.4,y
4.4,y
4.4,y
4.5,y
4.5,y
4.5,y
4.5,y
4.5,y
4.5,y
4.5,y
4.5,y
4.5,y
4.6,y
4.6,y
4.6,y
4.6,y
4.6,y
4.6,y
4.6,y
4.6,y
4.6,y
4.7,y
4.7,y
4.7,y
4.7,y
4.7,y
4.7,y
4.7,y
4.7,y
4.7,y
4.8,y
4.8,y
4.8,y
4.8,y
4.8,y
4.8,y
4.8,y
4.8,y
4.8,y
4.9,y
4.9,y
4.9,y
4.9,y
4.9,y
4.9,n
4.9,y
4.9,y
4.9,y
5,y
5,y
5,y
5,y
5,y
5,y
5,y
5,y
5,y
5.1,n
5.1,n
5.1,n
5.1,n
5.1,n
5.1,y
5.1,n
5.1,n
5.1,n
5.2,n
5.2,n
5.2,n
5.2,n
5.2,n
5.2,n
5.2,n
5.2,y
5.2,n
5.3,n
5.3,n
5.3,n
5.3,n
5.3,n
5.3,n
5.3,y
5.3,n
5.3,n
5.4,n
5.4,n
5.4,n
5.4,n
5.4,n
5.4,n
5.4,n
5.4,n
5.4,n
5.5,n
5.5,n
5.5,n
5.5,n
5.5,n
5.5,n
5.5,n
5.5,n
5.5,n
5.6,n
5.6,n
5.6,n
5.6,n
5.6,n
5.6,n
5.6,n
5.6,n
5.6,n
5.7,n
5.7,n
5.7,n
5.7,n
5.7,n
5.7,n
5.7,n
5.7,n
5.7,n
5.8,n
5.8,n
5.8,n
5.8,n
5.8,n
5.8,n
5.8,n
5.8,n
5.8,n
5.9,n
5.9,n
5.9,n
5.9,n
5.9,n
5.9,n
5.9,n
5.9,n
5.9,n
6,n
6,n
6,n
6,n
6,n
6,n
6,n
6,n
6,n
6.1,n
6.1,n
6.1,n
6.1,n
6.1,n
6.1,n
6.1,n
6.1,n
6.1,n
6.2,n
6.2,n
6.2,n
6.2,n
6.2,n
6.2,n
6.2,n
6.2,n
6.2,n
6.3,n
6.3,n
6.3,n
6.3,n
6.3,n
6.3,n
6.3,n
6.3,n
6.3,n
6.4,n
6.4,n
6.4,n
6.4,n
6.4,n
6.4,n
6.4,n
6.4,n
6.4,n
6.5,n
6.5,n
6.5,n
6.5,n
6.5,n
6.5,n
6.5,n
6.5,n
6.5,n
6.6,n
6.6,n
6.6,n
6.6,n
6.6,n
6.6,n
6.6,n
6.6,n
6.6,n
6.7,n
6.7,n
6.7,y
6.7,n
6.7,n
6.7,n
6.7,n
6.7,n
6.7,n
6.8,n
6.8,n
6.8,n
6.8,n
6.8,n
6.8,n
6.8,n
6.8,n
6.8,n
6.9,n
6.9,n
6.9,n
6.9,n
6.9,n
6.9,n
6.9,n
6.9,n
6.9,n
7,n
7,n
7,n
7,n
7,n
7,n
7,n
7,n
7,n
7.1,n
7.1,y
7.1,n
7.1,n
7.1,y
7.1,n
7.1,n
7.1,n
7.1,n
7.2,n
7.2,n
7.2,n
7.2,n
7.2,n
7.2,n
7.2,n
7.2,n
7.2,n
7.3,n
7.3,n
7.3,n
7.3,n
7.3,n
7.3,n
7.3,n
7.3,n
7.3,n
7.4,n
7.4,n
7.4,n
7.4,n
7.4,n
7.4,n
7.4,n
7.4,n
7.4,n
7.5,n
7.5,n
7.5,n
7.5,n
7.5,n
7.5,n
7.5,n
7.5,n
7.5,n
7.6,n
7.6,n
7.6,n
7.6,n
7.6,n
7.6,n
7.6,n
7.6,n
7.6,n
7.7,n
7.7,n
7.7,n
7.7,n
7.7,n
7.7,n
7.7,n
7.7,n
7.7,n
7.8,n
7.8,n
7.8,n
7.8,n
7.8,n
7.8,n
7.8,n
7.8,n
7.8,n
7.9,n
7.9,n
7.9,n
7.9,n
7.9,n
7.9,n
7.9,n
7.9,n
7.9,n
8,n
8,n
8,n
8,n
8,n
8,n
8,n
8,n
8,n
8.1,n
8.1,n
8.1,n
8.1,n
8.1,n
8.1,n
8.1,n
8.1,n
8.1,n
8.2,n
8.2,n
8.2,n
8.2,n
8.2,n
8.2,n
8.2,n
8.2,n
8.2,n
8.3,n
8.3,n
8.3,n
8.3,n
8.3,n
8.3,n
8.3,n
8.3,n
8.3,n
8.4,n
8.4,n
8.4,n
8.4,n
8.4,n
8.4,n
8.4,n
8.4,n
8.4,n
8.5,n
8.5,n
8.5,n
8.5,n
8.5,n
8.5,n
8.5,n
8.5,n
8.5,n
8.6,n
8.6,n
8.6,n
8.6,n
8.6,n
8.6,n
8.6,n
8.6,n
8.6,n
8.7,n
8.7,n
8.7,n
8.7,n
8.7,n
8.7,n
8.7,n
8.7,n
8.7,n
8.8,n
8.8,n
8.8,n
8.8,n
8.8,n
8.8,n
8.8,n
8.8,n
8.8,n
8.9,n
8.9,n
8.9,n
8.9,n
8.9,n
8.9,n
8.9,n
8.9,n
8.9,n
9,n
9,n
9,n
9,n
9,n
9,n
9,n
9,n
9,n
9.1,n
9.1,n
9.1,n
9.1,n
9.1,n
9.1,n
9.1,n
9.1,n
9.1,n
9.2,n
9.2,n
9.2,n
9.2,n
9.2,n
9.2,n
9.2,n
9.2,n
9.2,n
9.3,n
9.3,n
9.3,n
9.3,n
9.3,n
9.3,n
9.3,n
9.3,n
9.3,n
9.4,n
9.4,n
9.4,n
9.4,n
9.4,n
9.4,n
9.4,n
9.4,n
9.4,n
9.5,n
9.5,n
9.5,n
9.5,n
9.5,n
9.5,n
9.5,n
9.5,n
9.5,n
9.6,n
9.6,n
9.6,n
9.6,n
9.6,n
9.6,n
9.6,n
9.6,n
9.6,n
9.7,n
9.7,n
9.7,n
9.7,n
9.7,n
9.7,n
9.7,n
9.7,n
9.7,n
9.8,n
9.8,n
9.8,n
9.8,n
9.8,n
9.8,n
9.8,n
9.8,n
9.8,n
9.9,n
9.9,n
9.9,n
9.9,n
9.9,n
9.9,n
9.9,n
9.9,n
9.9,n
10,n
10,n
10,n
10,n
10,n
10,n
10,n
10,n
10,n
